frame,capture_time,log_time,hmd_position_x,hmd_position_y,hmd_position_z,hmd_rotation_x,hmd_rotation_y,hmd_rotation_z,hmd_rotation_w,gaze_status,combined_gaze_forward_x,combined_gaze_forward_y,combined_gaze_forward_z,combined_gaze_position_x,combined_gaze_position_y,combined_gaze_position_z,inter_pupillary_distance_mm,left_eye_status,left_eye_forward_x,left_eye_forward_y,left_eye_forward_z,left_eye_position_x,left_eye_position_y,left_eye_position_z,left_pupil_iris_ratio,left_pupil_diameter_mm,left_iris_diameter_mm,left_eye_openness,right_eye_status,right_eye_forward_x,right_eye_forward_y,right_eye_forward_z,right_eye_position_x,right_eye_position_y,right_eye_position_z,right_pupil_iris_ratio,right_pupil_diameter_mm,right_iris_diameter_mm,right_eye_openness,focus_distance,focus_stability,time_s,time_ms,sample_dt_ms,gaze_azimuth_deg,gaze_elevation_deg,in_invalid_run,invalid_run_id,gaze_valid,left_eye_valid,right_eye_valid,blink_left,blink_right,pupil_left_out_of_bounds,pupil_right_out_of_bounds,pupil_asymmetry_exceeded,focus_distance_sentinel,focus_out_of_bounds,focus_unstable,interpolated_left_pupil,interpolated_right_pupil,excluded
725185,1000003884797168000,63875744676001,0,0,0,0,0,0,1,VALID,-0.017,-0.039,0.999,0,0,0,52.375,VALID,0.032,-0.004,0.999,-0.028,0,0,0.414,2.849,6.887,0.883,VALID,-0.017,-0.039,0.999,0.028,0,0,0.418,2.696,6.454,0.883,0.7606121,0.6582366,0.1654225,165.4225,5.0131000000000085,-0.9749091578796126,-2.2351022437956822,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725186,1000003884802157500,63875744676001,0,0,0,0,0,0,1,VALID,-0.017,-0.039,0.999,0,0,0,52.375,VALID,0.032,-0.004,0.999,-0.028,0,0,0.414,2.848,6.887,0.884,VALID,-0.017,-0.039,0.999,0.028,0,0,0.418,2.695,6.454,0.881,0.7559707,0.6629525,0.170412,170.412,4.9894999999999925,-0.9749091578796126,-2.2351022437956822,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725187,1000003884807134500,63875744676001,0,0,0,0,0,0,1,VALID,-0.017,-0.039,0.999,0,0,0,52.375,VALID,0.032,-0.004,0.999,-0.028,0,0,0.413,2.847,6.887,0.882,VALID,-0.017,-0.039,0.999,0.028,0,0,0.417,2.693,6.454,0.882,0.7517361,0.7602662,0.175389,175.389,4.977000000000004,-0.9749091578796126,-2.2351022437956822,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725188,1000003884812162500,63875744676001,0,0,0,0,0,0,1,VALID,-0.017,-0.04,0.999,0,0,0,52.375,VALID,0.032,-0.004,0.999,-0.028,0,0,0.413,2.846,6.887,0.878,VALID,-0.017,-0.04,0.999,0.028,0,0,0.417,2.692,6.454,0.88,0.7454416,0.7374444,0.180417,180.417,5.027999999999992,-0.9749091578796126,-2.292442775955887,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725189,1000003884817225800,63875744676001,0,0,0,0,0,0,1,VALID,-0.017,-0.04,0.999,0,0,0,52.375,VALID,0.032,-0.004,0.999,-0.028,0,0,0.413,2.842,6.887,0.88,VALID,-0.017,-0.04,0.999,0.028,0,0,0.416,2.688,6.454,0.879,0.7379642,0.7330105,0.1854803,185.4803,5.063299999999998,-0.9749091578796126,-2.292442775955887,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725190,1000003884822243400,63875744676001,0,0,0,0,0,0,1,VALID,-0.016,-0.039,0.999,0,0,0,52.375,VALID,0.032,-0.002,0.999,-0.028,0,0,0.411,2.831,6.887,0.877,VALID,-0.016,-0.039,0.999,0.028,0,0,0.416,2.683,6.454,0.88,0.7234049,0.6589322,0.1904979,190.4979,5.017599999999987,-0.9175716714142002,-2.2351022437956822,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725191,1000003884827204800,63875744676001,0,0,0,0,0,0,1,VALID,-0.006,-0.034,0.999,0,0,0,52.375,VALID,0.034,0.005,0.999,-0.028,0,0,0.411,2.83,6.887,0.871,VALID,-0.006,-0.034,0.999,0.028,0,0,0.417,2.691,6.454,0.88,0.7143898,0,0.1954593,195.4593,4.961400000000026,-0.34411465826711285,-1.9484320243766013,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
725192,1000003884832222400,63875744676001,0,0,0,0,0,0,1,VALID,-0.005,-0.012,1,0,0,0,52.375,VALID,0.036,0.02,0.999,-0.028,0,0,0.409,2.819,6.887,0.865,VALID,-0.005,-0.012,1,0.028,0,0,0.417,2.688,6.454,0.879,2,0,0.2004769,200.4769,5.017599999999987,-0.2864765102770745,-0.6875658564108561,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
725193,1000003884837240000,63875744676001,0,0,0,0,0,0,1,VALID,-0.004,0.011,1,0,0,0,52.375,VALID,0.04,0.043,0.998,-0.028,0,0,0.408,2.809,6.887,0.851,VALID,-0.004,0.011,1,0.028,0,0,0.415,2.68,6.454,0.878,0.8378082,0,0.2054945,205.4945,5.017599999999987,-0.22918189575410042,0.6302662854497764,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
725194,1000003884842263500,63875744676001,0,0,0,0,0,0,1,VALID,-0.004,0.035,0.999,0,0,0,52.375,VALID,0.044,0.067,0.997,-0.028,0,0,0.406,2.797,6.887,0.837,VALID,-0.004,0.035,0.999,0.028,0,0,0.415,2.675,6.454,0.876,0.8029097,0,0.210518,210.518,5.023500000000013,-0.22941130461046613,2.0057619349098257,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
725195,1000003884847281100,63875744676001,0,0,0,0,0,0,1,VALID,-0.005,0.057,0.998,0,0,0,52.375,VALID,0.049,0.088,0.995,-0.028,0,0,0.404,2.784,6.887,0.826,VALID,-0.005,0.057,0.998,0.028,0,0,0.414,2.67,6.454,0.878,0.7672537,0,0.2155356,215.5356,5.017599999999987,-0.28705060190314763,3.267630485720823,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
725196,1000003884852298700,63875744676001,0,0,0,0,0,0,1,VALID,-0.006,0.074,0.997,0,0,0,52.375,VALID,0.053,0.105,0.993,-0.028,0,0,0.403,2.779,6.887,0.812,VALID,-0.006,0.074,0.997,0.028,0,0,0.412,2.661,6.454,0.881,0.7334318,0,0.2205532,220.5532,5.017600000000016,-0.3448049418344468,4.243766854803649,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
725197,1000003884857316300,63875744676001,0,0,0,0,0,0,1,VALID,-0.007,0.087,0.996,0,0,0,52.375,VALID,0.057,0.117,0.992,-0.028,0,0,0.403,2.774,6.887,0.803,VALID,-0.007,0.087,0.996,0.028,0,0,0.411,2.656,6.454,0.887,0.7113953,0,0.2255708,225.5708,5.017599999999987,-0.4026745514529658,4.991042573144861,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
725198,1000003884862284700,63875744676001,0,0,0,0,0,0,1,VALID,-0.008,0.097,0.995,0,0,0,52.375,VALID,0.06,0.125,0.99,-0.028,0,0,0.402,2.772,6.887,0.798,VALID,-0.008,0.097,0.995,0.028,0,0,0.411,2.653,6.454,0.894,0.6967396,0,0.2305392,230.5392,4.968400000000003,-0.4606596577738017,5.566443107310412,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
