frame,time_s,left_pupil_diameter_mm,right_pupil_diameter_mm,left_pupil_iris_ratio,right_pupil_iris_ratio,gaze_valid,left_eye_valid,right_eye_valid,blink_left,blink_right,pupil_left_out_of_bounds,pupil_right_out_of_bounds,pupil_asymmetry_exceeded,interpolated_left_pupil,interpolated_right_pupil
725542,1.9547353,,,,,false,false,false,false,false,false,false,false,false,false
725543,1.9597752,,,,,false,false,false,false,false,false,false,false,false,false
725544,1.9647833,,,,,false,false,false,false,false,false,false,false,false,false
725545,1.9697646,,,,,false,false,false,false,false,false,false,false,false,false
725546,1.9747802,,,,,false,false,false,false,false,false,false,false,false,false
725547,1.9798079,,,,,false,false,false,false,false,false,false,false,false,false
725548,1.9848339,,,,,false,false,false,false,false,false,false,false,false,false
725549,1.9898364,,,,,false,false,false,false,false,false,false,false,false,false
725550,1.9948474,,,,,false,false,false,false,false,false,false,false,false,false
725551,1.9998555,,,,,false,false,false,false,false,false,false,false,false,false
725552,2.0048724,,,,,false,false,false,false,false,false,false,false,false,false
725553,2.0098805,,,,,false,false,false,false,false,false,false,false,false,false
725554,2.0148886,,,,,false,false,false,false,false,false,false,false,false,false
725555,2.0199012,,,,,false,false,false,false,false,false,false,false,false,false
725556,2.0249093,,,,,false,false,false,false,false,false,false,false,false,false
725557,2.0299174,,,,,false,false,false,false,false,false,false,false,false,false
725558,2.034941,,,,,false,false,false,false,false,false,false,false,false,false
725559,2.03995,,,,,false,false,false,false,false,false,false,false,false,false
725560,2.044959,,,,,false,false,false,false,false,false,false,false,false,false
725561,2.0499843,,,,,false,false,false,false,false,false,false,false,false,false
725562,2.0549933,,,,,false,false,false,false,false,false,false,false,false,false
725563,2.0600472,,,,,false,false,false,false,false,false,false,false,false,false
725564,2.0650562,,,,,false,false,false,false,false,false,false,false,false,false
725565,2.0700722,,,,,false,false,false,false,false,false,false,false,false,false
725566,2.0750812,,,,,false,false,false,false,false,false,false,false,false,false
725567,2.0800968,,,,,false,false,false,false,false,false,false,false,false,false
725568,2.0851058,,,,,false,false,false,false,false,false,false,false,false,false
725569,2.0901214,,,,,false,false,false,false,false,false,false,false,false,false
725570,2.0951304,,,,,false,false,false,false,false,false,false,false,false,false
725571,2.1001394,,,,,false,false,false,false,false,false,false,false,false,false
725572,2.1051665,2.115,2.15,0.307,0.333,true,true,true,true,true,false,false,false,false,false
725573,2.1101755,2.69,2.471,0.391,0.383,true,true,true,true,true,false,false,false,false,false
725574,2.1151845,2.934,2.448,0.426,0.379,true,true,true,true,true,false,false,false,false,false
725575,2.1201935,2.6,2.405,0.378,0.373,true,true,true,true,true,false,false,false,false,false
725576,2.1251787,2.567,2.087,0.373,0.323,true,true,true,true,true,false,false,false,false,false
725577,2.1301877,2.5867595585948497,2.1211166910570247,0,0,true,true,true,true,true,true,true,false,true,true
725578,2.1351967,2.606519117189699,2.1552333821140497,0,0,true,true,true,true,true,true,true,false,true,true
725579,2.140211,2.626299583283161,2.1893861718859067,0,0,true,true,true,true,true,true,true,false,true,true
725580,2.1452354,2.6461198919683206,2.2236077535482988,0,0,true,true,true,true,true,true,true,false,true,true
725581,2.1502516,2.6659078532027953,2.2577734843688715,0,0,true,true,true,true,true,true,true,false,true,true
725582,2.155276,2.685728161887954,2.2919950660312605,0,0,true,true,true,false,true,true,true,false,true,true
725583,2.1603249,2.7056451184440604,2.3263835191112805,0,0,true,true,true,false,true,true,true,false,true,true
