frame,time_s,gaze_status,left_eye_status,right_eye_status,left_eye_openness,right_eye_openness,focus_distance,focus_stability,gaze_valid,left_eye_valid,right_eye_valid,blink_left,blink_right,focus_distance_sentinel,focus_out_of_bounds,focus_unstable,in_invalid_run,invalid_run_id
725412,1.3031567,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725413,1.308162,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725414,1.3131735,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725415,1.3181831,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725416,1.3232368,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725417,1.3282421,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725418,1.3332517,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725419,1.338257,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725420,1.3432744,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725421,1.3482797,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725422,1.3532893,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725423,1.3584102,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725424,1.3633839,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725425,1.3683892,VALID,VALID,INVALID,0.407,0.261,2,0,true,true,false,true,true,false,false,true,false,
725426,1.3733782,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,false,
725427,1.3783328,VALID,INVALID,VALID,,,2,0,true,false,true,false,false,false,false,true,false,
725428,1.3833378,VALID,VALID,VALID,0.414,0.264,0.4793148,0,true,true,true,true,true,false,false,true,false,
725429,1.3883434,VALID,VALID,VALID,0.418,0.274,0.9210226,0,true,true,true,true,true,false,false,true,false,
725430,1.3933484,VALID,VALID,VALID,0.425,0.29,0.4261022,0,true,true,true,true,true,false,false,true,false,
725431,1.3983796,VALID,VALID,VALID,0.433,0.314,,0,true,true,true,true,true,false,true,true,false,
725432,1.4033849,VALID,VALID,VALID,0.441,0.347,,0,true,true,true,true,true,false,true,true,false,
725433,1.4083902,VALID,VALID,VALID,0.451,0.385,,0,true,true,true,true,true,false,true,true,false,
725434,1.4133955,VALID,VALID,VALID,0.472,0.422,,0,true,true,true,true,true,false,true,true,false,
725435,1.4184263,VALID,VALID,VALID,0.488,0.449,0.2417095,0,true,true,true,true,true,false,false,true,false,
725436,1.4234437,VALID,VALID,VALID,0.496,0.474,0.3152927,0,true,true,true,true,true,false,false,true,false,
725437,1.4284487,VALID,VALID,VALID,0.51,0.492,0.3684333,0,true,true,true,false,true,false,false,true,false,
725438,1.433501,VALID,VALID,VALID,0.524,0.506,0.3928575,0,true,true,true,false,false,false,false,true,false,
725439,1.438481,VALID,VALID,VALID,0.54,0.523,0.3966217,0,true,true,true,false,false,false,false,true,false,
725440,1.4434934,VALID,VALID,VALID,0.549,0.531,0.3958558,0,true,true,true,false,false,false,false,true,false,
725441,1.4484968,VALID,VALID,VALID,0.56,0.549,0.3896511,0,true,true,true,false,false,false,false,true,false,
725442,1.453525,VALID,VALID,VALID,0.571,0.563,0.4733042,0,true,true,true,false,false,false,false,true,false,
725443,1.4585284,VALID,VALID,VALID,0.578,0.574,0.5925523,0,true,true,true,false,false,false,false,true,false,
725444,1.4635307,VALID,VALID,VALID,0.587,0.592,0.8228882,0,true,true,true,false,false,false,false,true,false,
725445,1.4685341,VALID,VALID,VALID,0.601,0.605,0.3234861,0,true,true,true,false,false,false,false,true,false,
725446,1.4735764,VALID,VALID,VALID,0.615,0.62,,0,true,true,true,false,false,false,true,true,false,
725447,1.4785798,VALID,VALID,VALID,0.628,0.64,0.2537385,0,true,true,true,false,false,false,false,true,false,
725448,1.4835877,VALID,VALID,VALID,0.64,0.657,0.2826467,0,true,true,true,false,false,false,false,true,false,
725449,1.4886354,VALID,VALID,VALID,0.65,0.672,0.3082287,0,true,true,true,false,false,false,false,true,false,
725450,1.4936433,VALID,VALID,VALID,0.658,0.683,0.3635459,0,true,true,true,false,false,false,false,true,false,
725451,1.4986517,VALID,VALID,VALID,0.666,0.694,0.433836,0,true,true,true,false,false,false,false,true,false,
725452,1.5036596,VALID,VALID,VALID,0.673,0.702,0.4987419,0,true,true,true,false,false,false,false,true,false,
725453,1.5086714,VALID,VALID,VALID,0.678,0.709,0.521127,0,true,true,true,false,false,false,false,true,false,
725454,1.5136793,VALID,VALID,VALID,0.681,0.714,0.5083172,0,true,true,true,false,false,false,false,true,false,
725455,1.5186738,VALID,VALID,VALID,0.685,0.717,0.4836221,0,true,true,true,false,false,false,false,true,false,
725456,1.5236858,VALID,VALID,VALID,0.687,0.719,0.4414793,0,true,true,true,false,false,false,false,true,false,
725457,1.5286976,VALID,VALID,VALID,0.688,0.721,0.4066541,0,true,true,true,false,false,false,false,true,false,
725458,1.5337085,VALID,VALID,VALID,0.69,0.722,0.3738923,0,true,true,true,false,false,false,false,true,false,
725459,1.5387203,VALID,VALID,VALID,0.69,0.722,0.3437788,0,true,true,true,false,false,false,false,true,false,
725460,1.5437321,VALID,VALID,VALID,0.691,0.723,0.3239168,0,true,true,true,false,false,false,false,true,false,
725461,1.5487439,VALID,VALID,VALID,0.691,0.723,0.3066229,0.01009397,true,true,true,false,false,false,false,true,false,
725462,1.5537885,VALID,VALID,VALID,0.691,0.723,0.2922137,0.3131063,true,true,true,false,false,false,false,false,false,
725463,1.5588003,VALID,VALID,VALID,0.691,0.723,0.2762413,0.3267252,true,true,true,false,false,false,false,false,false,
725464,1.5638121,VALID,VALID,VALID,0.691,0.723,0.2787231,0.2769779,true,true,true,false,false,false,false,true,false,
725465,1.568823,VALID,VALID,VALID,0.691,0.723,0.3146067,0,true,true,true,false,false,false,false,true,false,
725466,1.5738348,VALID,VALID,VALID,0.691,0.723,0.3391364,0.07628126,true,true,true,false,false,false,false,true,false,
725467,1.5788457,VALID,VALID,VALID,0.69,0.722,0.3594651,0.0574507,true,true,true,false,false,false,false,true,false,
725468,1.5838566,VALID,VALID,VALID,0.69,0.72,0.3603427,0,true,true,true,false,false,false,false,true,false,
725469,1.5888684,VALID,VALID,VALID,0.689,0.718,0.3760963,0,true,true,true,false,false,false,false,true,false,
725470,1.593878,VALID,VALID,VALID,0.686,0.713,0.3846069,0,true,true,true,false,false,false,false,true,false,
725471,1.5988889,VALID,VALID,VALID,0.683,0.706,0.3908963,0,true,true,true,false,false,false,false,true,false,
725472,1.6038998,VALID,VALID,VALID,0.678,0.697,0.3975119,0,true,true,true,false,false,false,false,true,false,
725473,1.6090059,VALID,VALID,VALID,0.672,0.683,0.3913692,0,true,true,true,false,false,false,false,true,false,
725474,1.6140154,VALID,VALID,VALID,0.664,0.664,0.3860805,0,true,true,true,false,false,false,false,true,false,
725475,1.6189073,VALID,VALID,VALID,0.649,0.634,0.3571044,0,true,true,true,false,false,false,false,true,false,
725476,1.6239168,VALID,VALID,VALID,0.628,0.601,0.400206,0,true,true,true,false,false,false,false,true,false,
725477,1.6289376,VALID,VALID,VALID,0.605,0.564,0.3099073,0,true,true,true,false,false,false,false,true,false,
