Frame,CaptureTime,LogTime,HMDPositionX,HMDPositionY,HMDPositionz,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationHuh,GazeStatus,CombinedGazeForwardX,CombinedGazeForwardY,CombinedGazeForwardZ,CombinedGazePositionX,CombinedGazePositionY,CombinedGazePositionZ,InterPupillaryDistanceInMM,LeftEyeStatus,LeftEyeForwardX,LeftEyeForwardY,LeftEyeForwardZ,LeftEyePositionX,LeftEyePositionY,LeftEyePositionZ,LeftPupilIrisDiameterRatio,LeftPupilDiameterInMM,LeftIrisDiameterInMM,left Eye Openness,RightEyeStatus,RightEyeForwardX,RightEyeForwardY,RightEyeForwardZ,RightEyePositionX,RightEyePositionY,RightEyePositionZ,RightPupilIrisDiameterRatio,RightPupilDiameterInMM,RightIrisDiameterInMM,Right Eye Openness,FocusDistance,FocusStability
725185,1000003884797168000,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.017, -0.039, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.004, 0.999),(-0.028, 0.000, 0.000),0.414,2.849,6.887,0.883,VALID,(-0.017, -0.039, 0.999),(0.028, 0.000, 0.000),0.418,2.696,6.454,0.883,0.7606121,0.6582366
725186,1000003884802157500,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.017, -0.039, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.004, 0.999),(-0.028, 0.000, 0.000),0.414,2.848,6.887,0.884,VALID,(-0.017, -0.039, 0.999),(0.028, 0.000, 0.000),0.418,2.695,6.454,0.881,0.7559707,0.6629525
725187,1000003884807134500,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.017, -0.039, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.004, 0.999),(-0.028, 0.000, 0.000),0.413,2.847,6.887,0.882,VALID,(-0.017, -0.039, 0.999),(0.028, 0.000, 0.000),0.417,2.693,6.454,0.882,0.7517361,0.7602662
725188,1000003884812162500,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.017, -0.040, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.004, 0.999),(-0.028, 0.000, 0.000),0.413,2.846,6.887,0.878,VALID,(-0.017, -0.040, 0.999),(0.028, 0.000, 0.000),0.417,2.692,6.454,0.880,0.7454416,0.7374444
725189,1000003884817225800,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.017, -0.040, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.004, 0.999),(-0.028, 0.000, 0.000),0.413,2.842,6.887,0.880,VALID,(-0.017, -0.040, 0.999),(0.028, 0.000, 0.000),0.416,2.688,6.454,0.879,0.7379642,0.7330105
725190,1000003884822243400,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.016, -0.039, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.002, 0.999),(-0.028, 0.000, 0.000),0.411,2.831,6.887,0.877,VALID,(-0.016, -0.039, 0.999),(0.028, 0.000, 0.000),0.416,2.683,6.454,0.880,0.7234049,0.6589322
725191,1000003884827204800,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.006, -0.034, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.034, 0.005, 0.999),(-0.028, 0.000, 0.000),0.411,2.830,6.887,0.871,VALID,(-0.006, -0.034, 0.999),(0.028, 0.000, 0.000),0.417,2.691,6.454,0.880,0.7143898,0
725192,1000003884832222400,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.005, -0.012, 1.000),(0.000, 0.000, 0.000),52.375,VALID,(0.036, 0.020, 0.999),(-0.028, 0.000, 0.000),0.409,2.819,6.887,0.865,VALID,(-0.005, -0.012, 1.000),(0.028, 0.000, 0.000),0.417,2.688,6.454,0.879,2,0
725193,1000003884837240000,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.004, 0.011, 1.000),(0.000, 0.000, 0.000),52.375,VALID,(0.040, 0.043, 0.998),(-0.028, 0.000, 0.000),0.408,2.809,6.887,0.851,VALID,(-0.004, 0.011, 1.000),(0.028, 0.000, 0.000),0.415,2.680,6.454,0.878,0.8378082,0
725194,1000003884842263500,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.004, 0.035, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.044, 0.067, 0.997),(-0.028, 0.000, 0.000),0.406,2.797,6.887,0.837,VALID,(-0.004, 0.035, 0.999),(0.028, 0.000, 0.000),0.415,2.675,6.454,0.876,0.8029097,0
725195,1000003884847281100,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.005, 0.057, 0.998),(0.000, 0.000, 0.000),52.375,VALID,(0.049, 0.088, 0.995),(-0.028, 0.000, 0.000),0.404,2.784,6.887,0.826,VALID,(-0.005, 0.057, 0.998),(0.028, 0.000, 0.000),0.414,2.670,6.454,0.878,0.7672537,0
725196,1000003884852298700,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.006, 0.074, 0.997),(0.000, 0.000, 0.000),52.375,VALID,(0.053, 0.105, 0.993),(-0.028, 0.000, 0.000),0.403,2.779,6.887,0.812,VALID,(-0.006, 0.074, 0.997),(0.028, 0.000, 0.000),0.412,2.661,6.454,0.881,0.7334318,0
725197,1000003884857316300,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.007, 0.087, 0.996),(0.000, 0.000, 0.000),52.375,VALID,(0.057, 0.117, 0.992),(-0.028, 0.000, 0.000),0.403,2.774,6.887,0.803,VALID,(-0.007, 0.087, 0.996),(0.028, 0.000, 0.000),0.411,2.656,6.454,0.887,0.7113953,0
725198,1000003884862284700,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.008, 0.097, 0.995),(0.000, 0.000, 0.000),52.375,VALID,(0.060, 0.125, 0.990),(-0.028, 0.000, 0.000),0.402,2.772,6.887,0.798,VALID,(-0.008, 0.097, 0.995),(0.028, 0.000, 0.000),0.411,2.653,6.454,0.894,0.6967396,0
725199,1000003884867302300,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.009, 0.104, 0.995),(0.000, 0.000, 0.000),52.375,VALID,(0.063, 0.130, 0.989),(-0.028, 0.000, 0.000),0.402,2.770,6.887,0.792,VALID,(-0.009, 0.104, 0.995),(0.028, 0.000, 0.000),0.411,2.651,6.454,0.901,0.684825,0
725200,1000003884872325800,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.008, 0.101, 0.995),(0.000, 0.000, 0.000),52.375,VALID,(0.065, 0.134, 0.989),(-0.028, 0.000, 0.000),0.402,2.770,6.887,0.789,VALID,(-0.008, 0.101, 0.995),(0.028, 0.000, 0.000),0.411,2.651,6.454,0.909,0.6350995,0
725201,1000003884877367000,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.006, 0.099, 0.995),(0.000, 0.000, 0.000),52.375,VALID,(0.067, 0.136, 0.988),(-0.028, 0.000, 0.000),0.402,2.769,6.887,0.786,VALID,(-0.006, 0.099, 0.995),(0.028, 0.000, 0.000),0.411,2.651,6.454,0.915,0.6048359,0
725202,1000003884882390500,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.005, 0.098, 0.995),(0.000, 0.000, 0.000),52.375,VALID,(0.068, 0.138, 0.988),(-0.028, 0.000, 0.000),0.402,2.768,6.887,0.784,VALID,(-0.005, 0.098, 0.995),(0.028, 0.000, 0.000),0.411,2.651,6.454,0.922,0.5853839,0
